tweetid,sentiment
169760,1
35326,1
224985,1
476263,0
872928,1
75639,1
211536,1
569434,0
315368,1
591733,1
91983,0
67249,1
143459,1
663535,0
20476,0
815297,0
274098,0
30045,0
681487,-1
708966,2
393689,2
186705,0
233977,1
525794,0
863649,1
315964,1
588985,0
669979,0
137059,1
556915,1
951973,1
72939,1
205796,1
478581,-1
453375,1
555551,1
219030,1
546209,1
416919,1
433824,0
621526,2
616108,1
70943,0
153248,0
854719,1
616444,0
118418,1
846132,0
443106,-1
758958,1
376412,2
667731,1
222107,0
349545,1
284026,0
564727,0
522979,-1
460970,1
371750,1
251299,0
485211,0
502976,1
623282,1
217605,1
225330,-1
58854,1
723671,2
366409,1
704565,0
655925,0
717618,0
922449,2
729885,0
599133,1
89885,0
249039,1
440750,1
18663,0
314549,2
643414,1
61835,0
659073,1
178597,1
152298,1
581943,1
781913,1
336886,1
624852,1
655116,1
5591,0
731620,0
872882,0
320393,0
353463,1
816508,2
636325,-1
53058,0
725589,1
693559,1
66255,1
218797,1
307092,1
188557,0
137392,-1
597086,1
96006,0
330509,0
78639,0
536231,1
304814,0
553696,1
455898,0
745466,0
846719,2
722710,1
989172,0
492079,1
315869,1
32675,1
959684,1
641938,0
933443,1
458401,-1
554994,0
461467,1
902353,1
178794,0
387356,-1
380276,1
824355,0
685606,0
85488,0
50608,1
447977,1
943930,2
183083,1
359626,2
810128,0
380913,0
516209,1
993538,0
594772,1
22428,0
991876,1
504172,1
283272,1
914599,0
752129,0
701957,2
858489,1
221704,0
409406,0
468372,0
818509,1
204729,1
394896,0
397593,1
465474,2
450344,2
502719,1
816499,1
291002,0
301225,1
402773,1
81233,1
642569,1
900041,0
67900,-1
237131,1
311030,1
975455,1
69232,1
156024,0
268543,0
586693,1
709157,1
582003,1
689136,0
953619,0
971710,0
809619,1
595597,0
274499,0
771063,0
597739,1
110053,0
723442,1
881554,0
704923,1
822018,0
505322,2
120776,1
404757,1
811053,0
317696,1
734766,1
841196,1
400682,0
649511,0
740566,1
798359,1
861578,0
5417,2
609894,0
174874,2
227482,0
316886,0
112798,2
44507,1
444423,-1
878768,1
951095,0
970445,1
208227,1
545402,1
498559,1
454769,1
490905,0
343981,1
891649,0
794296,2
669149,2
104997,1
54711,0
756770,1
632633,2
882503,1
604089,1
37591,0
304290,0
167356,0
398680,1
268980,0
485450,1
246743,0
83632,0
804653,2
614272,0
699619,0
128361,2
617614,1
756863,2
550624,2
971913,1
597102,0
468901,0
512603,0
869,1
135515,1
471002,2
76054,1
835455,0
593722,1
209903,0
311687,0
38624,1
140169,1
50739,1
134179,0
368885,1
955073,0
642519,0
849811,1
377434,0
61946,1
128149,1
545779,2
145812,1
839220,1
23630,2
631635,1
659284,1
636800,1
246233,1
224961,2
227170,0
24500,1
444613,1
173797,0
183700,1
305251,1
487336,0
521403,0
741971,0
171732,1
354162,1
572875,0
337961,1
39327,1
666488,1
686787,-1
248289,0
644357,1
106812,0
492300,1
929522,0
827492,0
92888,1
748860,0
544547,0
970736,1
805808,1
320551,-1
210944,0
109631,2
251292,1
170364,0
948426,1
780776,0
693604,1
799998,1
373943,1
593149,1
264289,1
479344,0
820909,1
492817,1
831733,0
405413,1
685176,1
982870,0
92655,0
929710,1
365298,0
597644,0
908494,2
532450,2
431470,-1
261786,1
126953,1
157454,2
911863,1
968491,1
341684,1
868000,1
937870,0
196243,1
749947,1
10201,1
861465,1
418775,1
561942,1
61831,1
224428,2
470738,1
694377,0
557591,-1
504856,1
988980,0
811937,0
78955,0
166783,1
2520,0
268418,1
911873,2
380946,0
841067,-1
760341,1
872864,1
833511,1
795400,2
947288,1
97754,0
848402,0
77036,0
280663,1
654324,0
105628,1
227665,0
169839,2
334216,0
502105,1
174279,1
193681,1
457324,1
562231,-1
254480,1
432635,2
916814,1
217862,1
454694,0
512554,0
249736,1
979904,0
841942,1
141852,2
279014,2
511552,-1
502057,2
822243,0
586976,2
870627,0
809260,0
258979,0
342572,1
833715,0
63205,1
327,1
286773,2
831328,1
265516,0
988076,1
92963,1
813089,0
372840,0
460869,0
700900,1
54421,-1
83811,0
932229,1
14731,0
416245,0
91717,1
37782,1
168950,1
791767,1
612474,1
863569,0
833620,1
831050,0
327186,2
70954,1
744906,0
410805,0
321290,2
560166,0
199999,1
520958,1
486093,-1
433768,1
170942,1
97769,1
574580,-1
427983,-1
536786,0
64572,0
932658,1
875904,0
388184,0
448406,0
280094,1
196585,1
297123,0
583405,1
749358,2
8540,1
92130,1
682459,0
493774,0
81514,0
937131,2
683822,0
181932,0
185061,1
718905,0
467768,1
50360,1
37282,0
324725,-1
587613,1
759085,0
995304,0
62430,0
959472,0
134816,1
443799,1
84144,0
626595,1
382192,1
249680,0
209100,2
505060,2
510212,0
454150,0
900706,0
355447,1
415557,0
431394,0
796461,2
551013,1
71926,1
260753,1
883406,1
973790,0
673020,1
573493,1
850799,1
596499,0
430720,0
970612,1
645141,0
122672,1
572212,1
590281,0
185082,-1
643999,2
276142,1
522428,0
242869,1
859835,1
179238,0
830861,0
659715,1
742214,1
44768,2
156753,0
689726,0
659825,0
805236,1
484743,0
843791,1
401342,0
268165,1
450971,-1
969588,0
493909,1
775367,1
102955,2
356595,2
860992,2
478186,2
235851,0
859554,1
383555,1
568803,2
522415,1
493050,1
568528,0
371027,2
554560,1
969599,1
70097,1
898167,1
483103,2
773089,0
436540,0
214657,1
824653,0
132616,1
962166,0
357327,0
183595,0
338190,0
821753,0
782634,2
355771,1
102889,1
335544,2
417438,0
99418,1
774033,1
151834,1
573075,2
675187,2
488287,1
317596,1
848773,0
177318,1
743728,1
166017,0
668192,1
242646,1
572824,1
516374,1
569974,1
368987,1
35989,0
439267,1
425036,1
978741,1
161511,2
158819,1
225262,1
398562,0
940439,-1
657384,0
348631,1
950221,1
390207,1
633050,0
